Qty,Value,Device,Package,Parts,Description,,
1,,534-3080,BATTCON_12MM,BT1,Battery - Single Cell,,
8,100R,RC0603JR-07100RL,603,"R1, R4, R6, R8, R57, R58, R65, R69",,,
6,100k 1%,RC0603FR-10100KL,603,"R53, R59, R71, R72, R73, R74",,,
20,100n,CL10B104MB8NNNC,603,"C1, C2, C3, C4, C5, C7, C9, C11, C12, C15, C17, C18, C19, C21, C22, C23, C25, C27, C30, C31",,,
2,10k 1%,RC0603FR-1010KL,603,"R5, R7",,,
1,10n,CL10B103KB8NNNC,603,C26,,,
1,10u,CL10B106MQ8NRNC,603,C28,,,
1,120 1%,RC0603FR-07120RL,603,R77,,,
1,12MHz,ECS-120-20-3X-TR,ECS,X1,,,
1,15k,YC248-JR-0715KL,YC248,R3,,,
27,1k,RC0603JR-071KL,603,"R9, R10, R11, R12, R13, R14, R15, R19, R22, R27, R28, R31, R34, R39, R40, R43, R46, R51, R52, R63, R64, R66, R67, R68, R70, R75, R80",,,
8,1u,CL10A105KA8NNNC,603,"C6, C8, C10, C13, C14, C16, C20, C24",,,
5,20k,RC0603JR-0720KL,603,"R16, R54, R60, R76, R81",,,
2,20k 1%,RC0603FR-0720KL,603,"R56, R62",,,
2,22p,CL10C220JB81PNC,603,"C32, C33",,,
2,270 1%,RC0603FR-07270RL,603,"R55, R61",,,
2,310mA/60V/1.6Î©,2N7002,SOT323,"Q1, Q2",N-channel MOSFETs,,
10,470R,RC0603JR-07470RL,603,"R17, R21, R24, R25, R29, R32, R36, R38, R44, R47",,,
1,8.2k,YC248-JR-078K2L,YC248,R2,,,
8,BAT54S,BAT54S,SOT23,"D1, D2, D3, D4, D5, D6, D7, D8",Schottky Diodes,,
1,DS1374,DS1374U-33+T&R,UMAX10,IC9,,,
1,ECX-.327-6-34RR,ECS-.327-6-34RR-TR,ECX-34RR,Y1,,,
2,IL300,IL300,DIL8-SMD,"IC5, IC7",,,
3,ILQ1X009,ILQ1X009,SMD16,"OK1, OK2, OK3",SIEMENS OPTO COUPLER,,
1,LM358D,LM358DR,SO08,IC4,OP AMP also LM158, LM258, LM2904
1,LMV614,LMV614MTX/NOPB,TSSOP14,IC1,,,
1,MAX9924,MAX9924UAUB/V+T,UMAX10,IC10,,,
1,MCP23017SS,MCP23017 E/SS,SSOP28,IC3,http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf,,
1,MCP2515,MCP2515T-E/SO ,SO18W,IC13,CAN controller with SPI interface,,
1,MCP3X083008,MCP3208-BI/SL,SO16,IC2,,,
1,PESD1CAN,PESD1CANVL,SOT23,D9,CAN bus ESD protection diode,,
1,68R,WS5M68R0J,0617/17,R82,,,
1,SN65HVD230D,SN65HVD230D,SO08,IC12,,,
2,TSV912D,TSV912AQDRQ1 ,SO08,"IC6, IC8",OP AMP also TSV912A,,
1,ZXTR2105FQ,ZXTR2105FQ-7,SOT23,IC11,,,
17,Connector Pins,1480-3-00-80-00-00-03-0,,,Volvo Connectors Pins,,
1,CONN_04X2,1053102108,,J2,Sensor input,,
1,CONN_04RIGHT-ANGLE,1053141204,,J3,Switched 12V,,
1,CONN_04X2_MALE,1053081208,,,Sensor input male plug,,
1,CONN_04_MALE,1053081204,,,switched 12V male plug,,
20,MOLEX_CONNECTOR_PIN,538-105300-2100-CT,,,Molex connector pins,,
